Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
24,Casa de Velázquez de Madrid,,public,Étranger,28,https://fr.wikipedia.org/wiki/Casa_de_Vel%C3%A1zquez
11,École des hautes études commerciales de Paris,HEC Paris,privé,Île-de-France,78,https://fr.wikipedia.org/wiki/HEC_Paris
11,École nationale supérieure de création industrielle - Les Ateliers,Ensci-Les Ateliers,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_cr%C3%A9ation_industrielle
32,École supérieure de chimie organique et minérale,,privé,Hauts-de-France,60,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_chimie_organique_et_min%C3%A9rale
44,École supérieure d'ingénieurs des travaux de la construction de Metz,ESITC de Metz,privé,Grand Est,57,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_des_travaux_de_la_construction_de_Metz
28,École supérieure d'ingénieurs en génie électrique,ESIGELEC,privé,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_en_g%C3%A9nie_%C3%A9lectrique
11,École supérieure d'ingénieurs Léonard-de-Vinci,ESILV,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_L%C3%A9onard-de-Vinci
11,ESIEE-IT,,privé,Île-de-France,95,
52,Le Mans Université,,public,Pays de la Loire,72,https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Mans
0,Université de Corse Pasquale Paoli,Université Corse,public,Corse,20,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Corse-Pascal-Paoli
11,Université Paris 1 - Panthéon Sorbonne,Paris 1,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris_1_Panth%C3%A9on-Sorbonne
44,Institut national du service public,,public,Grand Est,67,https://fr.wikipedia.org/wiki/Institut_national_du_service_public
75,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,Bordeaux Sciences Agro,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_agronomiques_de_Bordeaux_Aquitaine
28,École nationale supérieure d'ingénieurs de Caen,ENSI Caen,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27ing%C3%A9nieurs_de_Caen
75,École supérieure des technologies industrielles avancées,ESTIA,privé,Nouvelle-Aquitaine,64,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_technologies_industrielles_avanc%C3%A9es
52,École supérieure du bois,ESB Nantes,privé,Pays de la Loire,44,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_bois
32,Institut supérieur d'agriculture de Lille,ISA Lille,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/ISA_Lille_-_Junia
53,Rennes School of Business,Rennes SB,privé,Bretagne,35,https://fr.wikipedia.org/wiki/Rennes_School_of_Business
75,Université Bordeaux Montaigne,,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_Bordeaux-Montaigne
75,Université de Bordeaux,UBx,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Bordeaux
11,Université Gustave Eiffel,,public,Île-de-France,77,https://fr.wikipedia.org/wiki/Universit%C3%A9_Gustave-Eiffel
32,Junia,,privé,Hauts-de-France,59,
11,CESI,,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/CESI_(enseignement)
11,École nationale supérieure d’architecture de Versailles,ENSA-V,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Versailles
11,École nationale supérieure de paysage,ENSP,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_paysage_de_Versailles
11,École nationale supérieure du pétrole et des moteurs,IFP school,public,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_du_p%C3%A9trole_et_des_moteurs
28,École supérieure d'arts et médias de Caen - Cherbourg,ÉSAM Caen/Cherbourg,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27arts_et_m%C3%A9dias_de_Caen-Cherbourg
84,Université Jean Moulin - Lyon 3,Lyon III,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Jean-Moulin-Lyon-III
76,"Centre de ressources, d'expertise et de performance sportives de Toulouse",CREPS Toulouse,public,Occitanie,31,
32,École des hautes études commerciales du nord,Edhec,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/EDHEC_Business_School
75,École d'ingénieurs des sciences aérospatiales,ELISA,privé,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_des_sciences_a%C3%A9rospatiales
76,École nationale de l'aviation civile,ENAC,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_de_l%27aviation_civile
44,École nationale supérieure d'architecture de Strasbourg,ENSAS,public,Grand Est,67,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Strasbourg
52,École supérieure angevine en informatique et productique,ESAIP,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/Esaip_%C3%A9cole_d%27ing%C3%A9nieurs
44,Haute école des arts du Rhin,HEAR,public,Grand Est,67,https://fr.wikipedia.org/wiki/Haute_%C3%89cole_des_arts_du_Rhin
32,Institut catholique de Lille,,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Lille
84,Institut national des sciences appliquées de Lyon,INSA de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Lyon
11,Institut protestant de théologie,IPT,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Facult%C3%A9_de_th%C3%A9ologie_protestante_de_Paris
44,Université de Haute-Alsace,,public,Grand Est,68,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Haute-Alsace
0,Université de La Réunion,,public,La Réunion,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_R%C3%A9union
