Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français,géolocalisation,latitude_ecole,longitude_ecole
24,Casa de Velázquez de Madrid,,public,Étranger,28,https://fr.wikipedia.org/wiki/Casa_de_Vel%C3%A1zquez,"40.44138, -3.73045",40.44138,-3.73045
11,École des hautes études commerciales de Paris,HEC Paris,privé,Île-de-France,78,https://fr.wikipedia.org/wiki/HEC_Paris,"48.757325, 2.169014",48.757325,2.169014
11,École nationale supérieure de création industrielle - Les Ateliers,Ensci-Les Ateliers,public,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_cr%C3%A9ation_industrielle,"48.8584, 2.36934",48.8584,2.36934
32,École supérieure de chimie organique et minérale,,privé,Hauts-de-France,60,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_de_chimie_organique_et_min%C3%A9rale,"49.40196, 2.80246",49.40196,2.80246
44,École supérieure d'ingénieurs des travaux de la construction de Metz,ESITC de Metz,privé,Grand Est,57,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_des_travaux_de_la_construction_de_Metz,"49.10042, 6.21616",49.10042,6.21616
28,École supérieure d'ingénieurs en génie électrique,ESIGELEC,privé,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_en_g%C3%A9nie_%C3%A9lectrique,"49.38364, 1.07715",49.38364,1.07715
11,École supérieure d'ingénieurs Léonard-de-Vinci,ESILV,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_L%C3%A9onard-de-Vinci,"48.896387417065654, 2.236399054527283",48.896387417065654,2.236399054527283
11,ESIEE-IT,,privé,Île-de-France,95,,"49.043554, 2.081926",49.043554,2.081926
52,Le Mans Université,,public,Pays de la Loire,72,https://fr.wikipedia.org/wiki/Universit%C3%A9_du_Mans,"48.0148, 0.159251",48.0148,0.159251
0,Université de Corse Pasquale Paoli,Université Corse,public,Corse,20,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Corse-Pascal-Paoli,"42.30048, 9.15328",42.30048,9.15328
11,Université Paris 1 - Panthéon Sorbonne,Paris 1,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris_1_Panth%C3%A9on-Sorbonne,"48.8468, 2.34488",48.8468,2.34488
44,Institut national du service public,,public,Grand Est,67,https://fr.wikipedia.org/wiki/Institut_national_du_service_public,"48.581336, 7.737568",48.581336,7.737568
75,École nationale supérieure des sciences agronomiques de Bordeaux Aquitaine,Bordeaux Sciences Agro,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_des_sciences_agronomiques_de_Bordeaux_Aquitaine,"44.792718, -0.608576",44.792718,-0.608576
28,École nationale supérieure d'ingénieurs de Caen,ENSI Caen,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27ing%C3%A9nieurs_de_Caen,"49.21467, -0.36735",49.21467,-0.36735
75,École supérieure des technologies industrielles avancées,ESTIA,privé,Nouvelle-Aquitaine,64,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_technologies_industrielles_avanc%C3%A9es,"43.44613, -1.55395",43.44613,-1.55395
52,École supérieure du bois,ESB Nantes,privé,Pays de la Loire,44,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_du_bois,"47.284, -1.514663",47.284,-1.514663
32,Institut supérieur d'agriculture de Lille,ISA Lille,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/ISA_Lille_-_Junia,"50.63380812638809, 3.046694397926331",50.63380812638809,3.046694397926331
53,Rennes School of Business,Rennes SB,privé,Bretagne,35,https://fr.wikipedia.org/wiki/Rennes_School_of_Business,"48.127773, -1.69295",48.127773,-1.69295
75,Université Bordeaux Montaigne,,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_Bordeaux-Montaigne,"44.8015, -0.615058",44.8015,-0.615058
75,Université de Bordeaux,UBx,public,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Bordeaux,"44.809966, -0.596578",44.809966,-0.596578
11,Université Gustave Eiffel,,public,Île-de-France,77,https://fr.wikipedia.org/wiki/Universit%C3%A9_Gustave-Eiffel,"48.83915, 2.58747",48.83915,2.58747
32,Junia,,privé,Hauts-de-France,59,,"50.63385, 3.04665",50.63385,3.04665
11,CESI,,privé,Île-de-France,92,https://fr.wikipedia.org/wiki/CESI_(enseignement),"48.88976, 2.24012",48.88976,2.24012
11,École nationale supérieure d’architecture de Versailles,ENSA-V,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Versailles,"48.8008, 2.12753",48.8008,2.12753
11,École nationale supérieure de paysage,ENSP,public,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_paysage_de_Versailles,"48.799059, 2.123464",48.799059,2.123464
11,École nationale supérieure du pétrole et des moteurs,IFP school,public,Île-de-France,92,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_du_p%C3%A9trole_et_des_moteurs,"48.877622, 2.172404",48.877622,2.172404
28,École supérieure d'arts et médias de Caen - Cherbourg,ÉSAM Caen/Cherbourg,public,Normandie,14,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27arts_et_m%C3%A9dias_de_Caen-Cherbourg,"49.180866, -0.346302",49.180866,-0.346302
84,Université Jean Moulin - Lyon 3,Lyon III,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_Jean-Moulin-Lyon-III,"45.747027, 4.860547",45.747027,4.860547
76,"Centre de ressources, d'expertise et de performance sportives de Toulouse",CREPS Toulouse,public,Occitanie,31,,"43.56992, 1.47394",43.56992,1.47394
32,École des hautes études commerciales du nord,Edhec,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/EDHEC_Business_School,"50.67306, 3.16605",50.67306,3.16605
75,École d'ingénieurs des sciences aérospatiales,ELISA,privé,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/%C3%89cole_d%27ing%C3%A9nieurs_des_sciences_a%C3%A9rospatiales,"44.800616, -0.777097",44.800616,-0.777097
76,École nationale de l'aviation civile,ENAC,public,Occitanie,31,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_de_l%27aviation_civile,"43.565904, 1.480601",43.565904,1.480601
44,École nationale supérieure d'architecture de Strasbourg,ENSAS,public,Grand Est,67,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_d%27architecture_de_Strasbourg,"48.58582, 7.73711",48.58582,7.73711
52,École supérieure angevine en informatique et productique,ESAIP,privé,Pays de la Loire,49,https://fr.wikipedia.org/wiki/Esaip_%C3%A9cole_d%27ing%C3%A9nieurs,"47.46355710615347, -0.49745321273803716",47.46355710615347,-0.49745321273803716
44,Haute école des arts du Rhin,HEAR,public,Grand Est,67,https://fr.wikipedia.org/wiki/Haute_%C3%89cole_des_arts_du_Rhin,"48.582371, 7.759293",48.582371,7.759293
32,Institut catholique de Lille,,privé,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Lille,"50.6330901906103, 3.0467104911804204",50.6330901906103,3.0467104911804204
84,Institut national des sciences appliquées de Lyon,INSA de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Lyon,"45.78262388935692, 4.878010153770448",45.78262388935692,4.878010153770448
11,Institut protestant de théologie,IPT,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/Facult%C3%A9_de_th%C3%A9ologie_protestante_de_Paris,"48.834229, 2.337221",48.834229,2.337221
44,Université de Haute-Alsace,,public,Grand Est,68,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Haute-Alsace,"47.7323, 7.31485",47.7323,7.31485
0,Université de La Réunion,,public,La Réunion,97,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_R%C3%A9union,"-20.9019, 55.4843",-20.9019,55.4843
