code_insee,name,tourism,latitude,longitude
69123,Centre d'Histoire de la Résistance et de la Déportation,museum,45.7464306,4.8359519
69123,Musée urbain Tony Garnier,museum,45.7335086,4.8629827
69123,B&B Hôtel,hotel,45.7431289,4.8701411
69123,N/A,viewpoint,45.7550369,4.8220432
69123,Le Totem,artwork,45.7637725,4.8740508
69123,Villa Florentine,hotel,45.7629609,4.8258206
69123,Le Royal,hotel,45.7563868,4.8330934
69123,Radisson,hotel,45.7610093,4.8537793
69123,Mercure Lyon Centre Château Perrache,hotel,45.7493926,4.8247885
69123,Mercure Lyon Centre Plaza République,hotel,45.7607241,4.8368045
69123,Carlton Lyon - MGallery,hotel,45.7610252,4.8365097
69123,Mercure Lyon Centre Saxe Lafayette Hotel,hotel,45.7619323,4.8459947
69123,Mercure Lyon Centre Beaux Arts,hotel,45.7609285,4.8341997
69123,Novotel Lyon Gerland Musée des Confluences,hotel,45.7329897,4.8233116
69123,Ibis Lyon Gerland Mérieux,hotel,45.7288355,4.829951
69123,Statue équestre de Louis XIV,artwork,45.7578371,4.8321925
69123,Hôtel des Noailles,hotel,45.7546288,4.8445429
69123,Le Lumière,hotel,45.7449154,4.8659982
69123,Le Phénix,hotel,45.7666301,4.8280461
69123,Centre d'art contemporain du Fort du Bruissin,museum,45.7305319,4.7385345
69123,Le Florence,hotel,45.7437734,4.8785615
69123,Novotel,hotel,45.7248518,4.9289926
69123,Appart'City Lyon Part-Dieu,hotel,45.752754,4.8599878
69123,Première Classe,hotel,45.7560514,4.8592143
69123,Ibis Lyon Gare Part Dieu,hotel,45.7572402,4.8579403
69123,Campanile,hotel,45.7498675,4.8284327
69123,Républik Hôtel,hotel,45.758409,4.8356413
69123,Esplanade de Fourvière,viewpoint,45.7627458,4.8230054
69123,Hôtel du Parc,hotel,45.7689222,4.8568351
69123,Veilleur de pierre,artwork,45.7582517,4.8332712
69123,Ibis Lyon Gerland,hotel,45.7333476,4.8228013
69123,Hôtel des Remparts,hotel,45.7505339,4.8263643
69123,L'Enghien,hotel,45.751633,4.8259543
69123,Hôtel Ibis,hotel,45.7487461,4.8430805
69123,Brin d'Idée,gallery,45.7592731,4.8444842
69123,N/A,information,45.7257159,4.8949597
69123,N/A,information,45.7234776,4.8987465
69123,N/A,information,45.7284906,4.893709
69123,N/A,viewpoint,45.7792999,4.7953509
69123,N/A,viewpoint,45.7746582,4.8351837
69123,N/A,artwork,45.7288489,4.8433206
69123,N/A,artwork,45.7760136,4.8635966
69123,Val de Saône,hotel,45.8194182,4.8686323
69123,N/A,picnic_site,45.835767,4.7761655
69123,Ferme caprine de l'Hermitage,attraction,45.8282326,4.7784778
69123,Lavoir,attraction,45.8374134,4.8053212
69123,ND du Sacré-coeur de Jésus,artwork,45.825678,4.8299628
69123,Chromatics,hotel,45.7446373,4.825762
69123,Hôtel Maison Lacassagne,hotel,45.744443,4.892545
69123,N/A,information,45.7894435,4.8478136
69123,N/A,information,45.7949725,4.8475573
69123,Table d'orientation du Mont Thou,viewpoint,45.8422018,4.798088
69123,ARA,artwork,45.746636,4.8666478
69123,Les Clos de Chaponost,hotel,45.7118356,4.745834
69123,N/A,viewpoint,45.7232264,4.7627062
69123,Residhome Appart Hotel Lyon Gerland,hotel,45.7370144,4.837293
69123,Appart'City Lyon Gerland,hotel,45.7378475,4.8379043
69123,Ibis Lyon Part-Dieu les Halles,hotel,45.761715,4.851319
69123,N/A,artwork,45.7688121,4.8349199
69123,N/A,artwork,45.7687718,4.8324844
69123,N/A,artwork,45.782744,4.8783137
69123,Vue sous-terraine du Parking des Célestins,viewpoint,45.7597666,4.8318664
69123,Pont des Quatre Vents du parc de la Sarra,viewpoint,45.763172,4.8193262
69123,N/A,viewpoint,45.8141432,4.8189624
69123,N/A,yes,45.7197341,4.8057636
69123,N/A,information,45.7142793,4.9315446
69123,Sculpture,artwork,45.71237,4.8061343
69123,Hôtel Campanile,hotel,45.7266125,4.9264396
69123,Le Beaulieu,hotel,45.7844444,4.7360157
69123,N/A,information,45.7896481,4.8777609
69123,N/A,information,45.7165763,4.9281474
69123,N/A,information,45.719273,4.9346176
69123,B&b Hôtel Lyon Centre Gambetta,hotel,45.7512586,4.8552125
69123,City Aventure Lyon - Ste Foy,attraction,45.7258436,4.7930643
69123,Fresque du Demi-Millénaire - Part 2,artwork,45.7242776,4.8539418
69123,La Tour-Lyon,guest_house,45.7649594,4.8274482
69123,Le Répit de l'Agriculteur,artwork,45.7694171,4.879449
69123,Musée Cinéma & Miniature,museum,45.7618753,4.8272985
69123,Statue du bœuf,artwork,45.7627063,4.8270449
69123,Hôtel des Congrès,hotel,45.7762978,4.8622695
69123,La cour des Loges,hotel,45.7632815,4.8273992
69123,N/A,viewpoint,45.764448,4.8361567
69123,N/A,viewpoint,45.7666193,4.8336575
69123,Hôtel Le Laennec,hotel,45.7386182,4.8804795
69123,La Rue des Grands Chefs,artwork,45.8158252,4.8474137
69123,Ariana,hotel,45.7697599,4.8789792
69123,DoubleTree Lyon Eurexpo,hotel,45.7155579,4.9291085
69123,La Caborne,hotel,45.8376752,4.7714897
69123,L'Ermitage,hotel,45.8218379,4.8194721
69123,Kyriad,hotel,45.6756725,4.7849038
69123,N/A,viewpoint,45.7857859,4.8695389
69123,Institut d'art contemporain,museum,45.7625393,4.8727591
69123,Formule 1,hotel,45.8207674,4.7597001
69123,B&B Hotel Lyon Nord,hotel,45.8197356,4.7602902
69123,Hôtel Saphir,hotel,45.7682499,4.803672
69123,Flower Tree,artwork,45.7559111,4.8358966
